bahnar,vietnamese,reference
geh sùng?,sáng bừng?,Kon Tum\Câu đố\Cau do Bahnar - Trang 44- Trang 210.xlsx
giám thị rơp tai liệu lơm lăm thi,giám thị bắt tài liệu trong phòng thi,Kon Tum\Bảng đặt câu.xlsx
go pai tơ băng xa,nồi nấu đồ ăn,Kon Tum\Bảng đặt câu.xlsx
gum eng lah,Cứu tôi với!,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_3_KT.xlsx
gô kơnh inh bôk jang,đợi lát nữa tôi đi làm,Kon Tum\Bảng đặt câu.xlsx
gô tơ băng xĩn mỡi sống,đợi đồ ăn chín rồi mới ăn cơm,Kon Tum\Bảng đặt câu.xlsx
gõ điên hnam nhôn hư,nồi điện nhà tôi  hư,Kon Tum\Bảng đặt câu.xlsx
găn krong,Qua sông,"Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_2_KT.xlsx, Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_3_KT.xlsx"
găr chuah,Hột cát,"Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_2_KT.xlsx, Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_3_KT.xlsx"
gả hnher,Hột lựu,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_2_KT.xlsx
ha bơr mă tih,há miệng to lên,Kon Tum\Bảng đặt câu.xlsx
ha bơr mă tih wa xong por,há miệng thật to để ăn cơm,Kon Tum\Bảng đặt câu.xlsx
hi 'blŏng hloh kơ inh,Nó cao hơn tôi,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_2_KT.xlsx
hi 'blŏng hơ tŏ kơ inh,Nó cao bằng tôi,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_2_KT.xlsx
hi blŏng hloh kơ inh minh hơ đa to,Nó cao hơn tôi một gang (tay),Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_2_KT.xlsx
hi blŏng hloh kơ ĕng,Nó cao hơn tôi,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_3_KT.xlsx
hi blŏng hloh lơ̆m lăm,Tôi cao nhất lớp,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_2_KT.xlsx
hi blŏng hlŏk kơ ĕng mĕng hơ đat,Nó cao hơn tôi một gang (tay),Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_3_KT.xlsx
hi blŏng hơ tŏ păng ĕng,Nó cao bằng tôi,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_3_KT.xlsx
hi bô̆k bô̆k dơ̆ng dơ̆ng,Nó đi đi lại lại,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_3_KT.xlsx
hi bô̆k hrơ̆m păng nhôn,Nó đi cùng với chúng tôi,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_3_KT.xlsx
hi bô̆k hrơ̆m păng nhôn hi tŏ đon ăn kơ duch noh,Nó lo lắng cho cô ấy,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_3_KT.xlsx
hi bô̆k rŏng rŏng 'ngir 'ngir!,Nó đi đi lại lại,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_2_KT.xlsx
hi bĭ xi mơ nuih (hơ nguang) hrui,Nó không phải là thợ săn,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_2_KT.xlsx
hi bĭ xĭ mơ ninh 'lơ̆ng,Nó không phải là người tốt,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_2_KT.xlsx
hi bĭ xĭ pơ nuih  lơ̆ng,Nó không phải là người tốt,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_3_KT.xlsx
hi bơ nôh jăk lê̆,Nó giận giỗi bỏ đi,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_3_KT.xlsx
hi jrơ̆m 'nhŏng,Nó gặp tôi,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_3_KT.xlsx
hi jrơ̆m 'nhŏng noh,Nó gặp anh ấy,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_3_KT.xlsx
hi jrơ̆m eng,Họ đi,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_3_KT.xlsx
hi jrơ̆m nhôn,Nó gặp chúng tôi,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_3_KT.xlsx
hi jrơ̆m noh,Nó gặp họ,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_3_KT.xlsx
hi jrơ̆m đe 'nhŏng,Nó gặp các anh,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_3_KT.xlsx
hi kơ đĕk hloh kơ inh,Nó thấp hơn tôi,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_2_KT.xlsx
hi kơ đĕk hloh kơ ĕng,Nó thấp hơn tôi,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_3_KT.xlsx
hi mĩh ăk  bôk lê̆,Nó giận giỗi bỏ đi,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_2_KT.xlsx
hi oă i hơ nih yơ,Nó nằm chỗ nào ?,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_3_KT.xlsx
hi pran jat,Nó rất khỏe,"Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_2_KT.xlsx, Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_3_KT.xlsx"
hi pôn anih yơ?,Nó nằm chỗ nào ?,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_2_KT.xlsx
hi pơ hrăm păng nhŏng ri,Nó học bài với anh nó,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_3_KT.xlsx
hi pơxrăm  bai păng 'nhŏng,Nó học bài với anh nó,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_2_KT.xlsx
hi sang iung boih,Nó đã dậy rồi,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_3_KT.xlsx
hi truh hơ năm xỡ,Họ đến năm ngoái,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_2_KT.xlsx
hi truh kơ ăng pêng hơ năm,Nó kém tôi ba tuổi,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_3_KT.xlsx
hi tŏ xĕ hơ năm hloh kơ inh,Nó ít tuổi hơn tôi,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_2_KT.xlsx
hi tŏ xĕ hơ năm hloh kơ ĕng,Nó ít tuổi hơn tôi,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_3_KT.xlsx
hi tŏ xĕ hơ năm đĭ đăng,Nó ít tuổi nhất,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_3_KT.xlsx
hi tŏ xĕ kơ inh pêng hơ năm,Nó kém tôi ba tuổi,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_2_KT.xlsx
hi tŏ đon ăn kơ duch noh hi kơ chăng gah 'nhŏng,Nó nghĩ về anh,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_3_KT.xlsx
hi tŏk jur tŏk jur,Nó leo lên leo xuống,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_2_KT.xlsx
hi tŏk kơ nhu hi juh,Nó leo lên leo xuống,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_3_KT.xlsx
hi tơ teng 'măng,Nó gõ cửa,"Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_2_KT.xlsx, Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_3_KT.xlsx"
hi vech dơ̆ng hơ peng eng,Nó quay lại hỏi tôi,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_3_KT.xlsx
hi weh tơ rŏng jet inh,Nó quay lại hỏi tôi,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_2_KT.xlsx
hi xang iung boih,Nó đã dậy rồi,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_2_KT.xlsx
hi xô xôn păng nhôn,Nó vui sướng vì tôi,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_3_KT.xlsx
hi yôp nă năng inh,Nó mỉm cười nhìn tôi,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_2_KT.xlsx
hi yôp nă năng ĕng,Nó mỉm cười nhìn tôi,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_3_KT.xlsx
hi ăn ĕng mĕng kơ sơ̆p hla ar,Nó cho tôi một quyển sách,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_3_KT.xlsx
hibĭră thơ hrui,Nó không phải là thợ săn,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_3_KT.xlsx
hla ar,Tờ giấy,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_3_KT.xlsx
hla ar mĕ nhong ăn kơing rơng rŏ jat,Quyển sách mà anh cho tôi rất hay,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_1_KT.xlsx
hla ar noh yua muhlôh hlăng ang bang chih,Quyển sách ấy do một nhà văn nổi tiếng viết,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_1_KT.xlsx
hla ar tơ hang,Tờ báo,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_3_KT.xlsx
hla bar ei yor ninh 'mi mơ ninh hlôh hlăng ang bang chih,Quyển sách ấy do một nhà văn nổi tiếng viết,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_2_KT.xlsx
hla bar mă 'nhŏng ăn kơ inh rŏ jat,Quyển sách mà anh cho tôi rất hay,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_2_KT.xlsx
hla bar pơ tỡng,Tờ báo,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_2_KT.xlsx
hla prit,Lá chuối,"Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_2_KT.xlsx, Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_3_KT.xlsx"
hlak hla bar,Tờ giấy,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_2_KT.xlsx
hlok vaih che,Thước vải,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_3_KT.xlsx
hmlan rơ gei tơ pă,hmlan giỏi thật sự,Kon Tum\Bảng đặt câu.xlsx
hmăm gah rõng,Nhà trong,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_2_KT.xlsx
hnam 'long rơ hoi rơ noh pơ đăm,Ngôi nhà gỗ rộng 5 gian của anh,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_3_KT.xlsx
hnam 'long xã pơ  dăm rơ mak pơ nhom,Ngôi nhà gỗ rộng 5 gian của anh,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_2_KT.xlsx
hnam Muưh ah yơ?,nhà Muưh ở đâu?,Kon Tum\Bảng đặt câu.xlsx
hnam dei dôm nu?,Nhà có mấy người ?,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_2_KT.xlsx
hnam hmlan đei 6 nu,nhà của hmlan có 6 người,Kon Tum\Bảng đặt câu.xlsx
hnam inh jễ trương,nhà tôi gần trường,Kon Tum\Bảng đặt câu.xlsx
hnam inh păng hnam bôl inh jễ dih băl,nhà tôi và nhà bạn tôi gần nhau,Kon Tum\Bảng đặt câu.xlsx
hnam inh đĩ bhe boih,nhà tôi hết gạo rồi,Kon Tum\Bảng đặt câu.xlsx
hnam kơ drâm mơ nuih,Nhà đông người,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_2_KT.xlsx
hnam lơ pơ nuih,Nhà đông người,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_3_KT.xlsx
hnam mă âu đăp leh,ngôi nhà này đẹp quá,Kon Tum\Bảng đặt câu.xlsx
hnam nhôn pơ tăm chik lơ mă,nhà tôi trồng dứa nhiều lắm,Kon Tum\Bảng đặt câu.xlsx
hnam nhôn rong tơ pai,nhà tôi nuôi con thỏ,Kon Tum\Bảng đặt câu.xlsx
hnam nhôn đei rong ka cảnh,nhà tôi có nuôi cá cảnh,Kon Tum\Bảng đặt câu.xlsx
hnam rông Kon Klor noh rông tih,nhà rông Kon Klor là nhà rông lớn,Kon Tum\Bảng đặt câu.xlsx
hnam âu tih leh,nhà này to quá,Kon Tum\Bảng đặt câu.xlsx
hnam đei dôm 'nu bơ nuih,Nhà có mấy người ?,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_3_KT.xlsx
hnam đi Phyơnh jang mir,nhà của Phyơnh làm nông,Kon Tum\Bảng đặt câu.xlsx
hnŏng đak jơ̆u,Lít dầu,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_3_KT.xlsx
hnŏng đak yâu,Lít dầu,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_2_KT.xlsx
hrĕng kĩ phe,Tạ gạo,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_2_KT.xlsx
hrĕng pơ têng phe,Tạ gạo,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_3_KT.xlsx
hrũk ao gôh?,lên mang áo màu đỏ?,Kon Tum\Câu đố\Cau do Bahnar - Trang 44- Trang 210.xlsx
hrơ̆m pêng,Bộ ba,"Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_2_KT.xlsx, Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_3_KT.xlsx"
huêl găng tơ pă,huêl đẹp thật sự,Kon Tum\Bảng đặt câu.xlsx
huêl rơ gei tơ pă,huêl giỏi thật sự,Kon Tum\Bảng đặt câu.xlsx
huăi bu a thai bi lui,đáng đời ai kêu lì,Kon Tum\Bảng đặt câu.xlsx
huăi bu thai tok xe deh,đáng đời ai kêu chạy xe nhanh,Kon Tum\Bảng đặt câu.xlsx
huăi lu bôk kle khong đe,đáng đời những tên trộm,Kon Tum\Bảng đặt câu.xlsx
hâm dei bu bô̆k hei? (dah tam?),Có ai đi chưa ?,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_2_KT.xlsx
hâm dei bu jet inh dĭ hei?,Có ai hỏi gì tôi không ?,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_2_KT.xlsx
hâm đei bu hia ưh,có ai qua không,Kon Tum\Bảng đặt câu.xlsx
hâm đei drong kyơ ưh,có chuyện gì không,Kon Tum\Bảng đặt câu.xlsx
hâp bet klẽ đe?,đâm lén người ta?,Kon Tum\Câu đố\Cau do Bahnar - Trang 44- Trang 210.xlsx
hâp tơlei Cân năng yă,như dây Đố biết là,Kon Tum\Câu đố\Cau do Bahnar - Trang 44- Trang 210.xlsx
hăp  tŏ xĕ hơ năm loi,Nó ít tuổi nhất,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_2_KT.xlsx
hăp bô̆k hrẫm păng nhôn,Nó đi cùng với chúng tôi,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_2_KT.xlsx
hăp ji bơ ngai pơ hle kơ đe,nó là 1 người hay chọc cười người khác,Kon Tum\Bảng đặt câu.xlsx
hăp jrơ̆m 'nhŏng ei (hi jrơ̆m 'nhŏng ei),Nó gặp anh ấy,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_2_KT.xlsx
hăp jrơ̆m duch ei (hi jrơ̆m duch ei),Nó gặp cô ấy,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_2_KT.xlsx
hăp jrơ̆m nhôn ( hi jrơ̆m nhôn),Nó gặp chúng tôi,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_2_KT.xlsx
hăp jrơ̆m đe 'nhŏng (hi jrơ̆m đe 'nhŏng),Nó gặp các anh,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_2_KT.xlsx
hăp jrẫm 'nhõng(hi jrơ̆m 'nhŏng),Nó gặp anh,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_2_KT.xlsx
hăp jrẫm inh  (hi jrơ̆m inh),Nó gặp tôi,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_2_KT.xlsx
hăp kơ dỡ noh brê măt,hắn ngại nên đỏ mặt,Kon Tum\Bảng đặt câu.xlsx
hăp oẽi tơ plẽnh?,nó trên trời?,Kon Tum\Câu đố\Cau do Bahnar - Trang 44- Trang 210.xlsx
hăp piot tok tơ goi long,nó leo tuốt  trên ngọn cây,Kon Tum\Bảng đặt câu.xlsx
hăp pơ nhang bơ ngai tol chõng hăp rơ gei,cậu ấy tuy là người bị mù nhưng cậu ấy giỏi,Kon Tum\Bảng đặt câu.xlsx
hăp to don kơ duch eir,Nó lo lắng cho cô ấy,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_2_KT.xlsx
hăp tơ chéng gah 'nhŏng,Nó nghĩ về anh,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_2_KT.xlsx
hăp xang drỡng tơ gum inh lơm tơ drong hok,họ đã đồng ý giúp đỡ tôi trong việc học,Kon Tum\Bảng đặt câu.xlsx
hăp xỗ hỡk yor ĩnh,Nó vui sướng vì tôi,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_2_KT.xlsx
hăp âu bơ ngai kơnễ,người này là người xấu,Kon Tum\Bảng đặt câu.xlsx
hăp ăn ing minh xẫp hla bar,Nó cho tôi một quyển sách,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_2_KT.xlsx
hơ băn ao mê,quần áo bẩn,Kon Tum\Bảng đặt câu.xlsx
hơ băn âu bruh boih,quần này dơ rồi,Kon Tum\Bảng đặt câu.xlsx
hơ băn âu djăl jat,cái quần này ngắn quá,Kon Tum\Bảng đặt câu.xlsx
hơ băn âu mẹ inh nao chonh ăn inh,quần này mẹ tôi mới  mua cho tôi,Kon Tum\Bảng đặt câu.xlsx
hơ droi xơ̆  ing oăi tơ plơ̆i,Trước đây tôi ở buông làng,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_3_KT.xlsx
hơ droi âu xỡ inh oei tỡ pơlĕi,Trước đây tôi ở buông làng,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_2_KT.xlsx
hơ druh minh jit tơ drăm xơ năm,Cô gái 16 tuổi,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_2_KT.xlsx
hơ druh mĕng jit tơ drăm hơ năm,Cô gái 16 tuổi,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_3_KT.xlsx
"hơ druh tơ âu, duch mă yơ duh quăng","Con gái ở đây, cô nào cũng đẹp",Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_2_KT.xlsx
hơ drông xa hla,con sâu ăn lá,Kon Tum\Bảng đặt câu.xlsx
hơ gơ̆m diang mi eng bi đơ̆i bô̆k,Nếu trời mưa thì tôi không đi,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_3_KT.xlsx
hơ jrơ̆m duch noh,Nó gặp cô ấy,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_3_KT.xlsx
hơ jrơ̆m duch noh hi jrơ̆m 'nhŏng,Nó gặp anh,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_3_KT.xlsx
hơ kăn băt kơ klo,Vợ nhớ chồng,"Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_2_KT.xlsx, Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_3_KT.xlsx"
hơ mech kăp inh,muỗi cắn tôi,Kon Tum\Bảng đặt câu.xlsx
hơ mech lơm kơ chum đak,muỗi ở trong chum nước,Kon Tum\Bảng đặt câu.xlsx
hơ năm mĕng rơ bơ̆u sim hrĕng tơ han jĭt,Năm 1984,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_3_KT.xlsx
hơ năm âu ing gô bô̆k sai gon,Năm nay tôi sẽ đi Sài Gòn,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_3_KT.xlsx
hơ năm âu inh gô bỗk tơ Sai Gon,Năm nay tôi sẽ đi Sài Gòn,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_2_KT.xlsx
hơ pơi 'nhong đơ̆I jơ hơm pran,Mong anh khỏe mạnh!,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_3_KT.xlsx
hơ yuih kial dơng đak tơsĩ rơ ngơp,hơi gió từ biển mát,Kon Tum\Bảng đặt câu.xlsx
hơbăn âu bị goăng,quần này không đẹp,Kon Tum\Bảng đặt câu.xlsx
hơm dei bu jit eng di,Có ai hỏi gì tôi không ?,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_3_KT.xlsx
hơyăt mih sang pơ lôch,Giặc Mỹ đã giết cô ấy,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_3_KT.xlsx
hơyăt mih xang pơ lôch duch ei,Giặc Mỹ đã giết cô ấy,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_2_KT.xlsx
hơ̆m đơ̆I bu bô̆k hăi,Có ai đi chưa ?,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_3_KT.xlsx
hưk bôh đe bôk jang,hưk thấy người ta đi làm,Kon Tum\Bảng đặt câu.xlsx
hưk tơ glech ti,hưk bị trật tay,Kon Tum\Bảng đặt câu.xlsx
hưk xỗ inh bôk et cà phê,hưk rủ tôi đi uống cà phê,Kon Tum\Bảng đặt câu.xlsx
iak krong,Con sông,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_2_KT.xlsx
iam bôk tơ yo,các bạn đi đâu,Kon Tum\Bảng đặt câu.xlsx
iam mê jat,các bạn xấu quá,Kon Tum\Bảng đặt câu.xlsx
ing gô hơ rih tơ noh puăn sơ năm,Tôi sẽ sống ở đó 4 năm,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_3_KT.xlsx
ing kăl dơhrăm,Tôi cần phải học,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_3_KT.xlsx
ing pơ re hlaar plăt năr păng song pơ hrăm bar kơ sơ̆p,Tôi đọc sách suốt ngày và đã đọc xong hai quyển,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_3_KT.xlsx
ing pơ re hlabar plăt năr păng xang pơre klaih'bar xơ xẫp,Tôi đọc sách suốt ngày và đã đọc xong hai quyển,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_2_KT.xlsx
ing sang yuăt hơri h tơ nhâu,Tôi đã từng sống ở đây,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_3_KT.xlsx
ing xang 'dêl erih tơ âu,Tôi đã từng sống ở đây,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_2_KT.xlsx
inh  kơ dơ bôh inh bĩ goăng,tôi ngại vì tôi không đẹp,Kon Tum\Bảng đặt câu.xlsx
inh a pĩnh mẽ inh ăn inh bôk thông,tôi xin mẹ tôi cho tôi đi chơi,Kon Tum\Bảng đặt câu.xlsx
inh a tă kơl păk tơ chơ neng,tôi ngã xuống đập đầu vô trường,Kon Tum\Bảng đặt câu.xlsx
inh bich ding dung,toi nằm võng,Kon Tum\Bảng đặt câu.xlsx
inh bich tep ah 8 jo măng,tôi nằm ngủ lúc 8 giờ tối,Kon Tum\Bảng đặt câu.xlsx
inh bich tep tơ hanm pơ gang,tôi nằm ngủ ở nhà thương bệnh viện,Kon Tum\Bảng đặt câu.xlsx
inh blok băt kơ pơ dô inh,tôi nhớ bồ của tôi,Kon Tum\Bảng đặt câu.xlsx
inh blok ma mat kơ đe dơ nuh hin,tôi  nhớ thương  những người nghèo khổ,Kon Tum\Bảng đặt câu.xlsx
inh bot kơ dung vă bôk hok,tôi đeo chiếc cặp để đi học,Kon Tum\Bảng đặt câu.xlsx
inh bot minh pôm kơ tar mâu găm,tôi  đeo một chếc guitar màu đen,Kon Tum\Bảng đặt câu.xlsx
inh bôh Chuang bôk thông,toi thấy Chuang đi chơi,Kon Tum\Bảng đặt câu.xlsx
inh bôh Suik nhim,tôi thấy Suik khóc,Kon Tum\Bảng đặt câu.xlsx
inh bôh ah to đei hnam pơ dro,tôi thấy chỗ đấy có tạp hóa,Kon Tum\Bảng đặt câu.xlsx
inh bôh ao brê noh bị dei goăng,tôi thấy chiếc áo dỏ đó không đẹp,Kon Tum\Bảng đặt câu.xlsx
inh bôh bok iẽ tol minh păh măt,tôi thấy một cậu bé bị mù một bên mắt,Kon Tum\Bảng đặt câu.xlsx
inh bôh bôl inh ngôi kơ tar hơgei mă,tôi thấy bạn tôi chơi đàn giỏi lắm,Kon Tum\Bảng đặt câu.xlsx
inh bôh e măn môk e tơ agah,tôi thấy cậu để chiếc mũ ở  ngoài,Kon Tum\Bảng đặt câu.xlsx
inh bôh gram tôh long tih,tôi thấy sấm sét đánh cây lớn,Kon Tum\Bảng đặt câu.xlsx
inh bôh hi bỡ boih lah,tôi thấy nó làm rồi mà,Kon Tum\Bảng đặt câu.xlsx
inh bôh hi rơ heng dơng hay,tôi thấy nó im nãy giờ,Kon Tum\Bảng đặt câu.xlsx
inh bôh khul hmơt ma túy oei jâp con hẻm,tôi thấy những người nghiện ma túy ở khắp con hẻm,Kon Tum\Bảng đặt câu.xlsx
inh bôh kon hơ seh,tôi thấy con ngựa,Kon Tum\Bảng đặt câu.xlsx
inh bôh kon hơ xeh tơ sở thú,tôi thấy con ngựa trong sở thú,Kon Tum\Bảng đặt câu.xlsx
inh bôh minh nu rơ duk bôk tơ trong tih,tôi thấy một người điên đang đi trên đường,Kon Tum\Bảng đặt câu.xlsx
inh bôh minh pôm kơdũng goăng,tôi thấy một chiếc túi đẹp,Kon Tum\Bảng đặt câu.xlsx
inh bôh mẹ inh  oei buh xem,tôi thấy mẹ tôi đang nướng thịt,Kon Tum\Bảng đặt câu.xlsx
inh bôh rơ mơt ah kon bơ ngai bơ lôch dih băl,tôi thấy ghê tomwr khi con người giết lẫn nhau,Kon Tum\Bảng đặt câu.xlsx
inh bôh rơ mơt mă,tôi thấy ghê tởm quá,Kon Tum\Bảng đặt câu.xlsx
inh bôh sư bôk khop,tôi thấy ông ấy đi lễ,Kon Tum\Bảng đặt câu.xlsx
inh bôh thong đak mă âu goăng jat,tôi thấy mương nước này đẹp quá,Kon Tum\Bảng đặt câu.xlsx
inh bôh đe bôk hnam bă yang,tôi thấy người ta đi nhà thờ,Kon Tum\Bảng đặt câu.xlsx
inh bôh đe bôk jal bắt cá,tôi thấy người ta đi giăng lưới bắt cá,Kon Tum\Bảng đặt câu.xlsx
inh bôh đe ha ioh kơ dâu tơ trong tih,tôi thấy trẻ con chạy ngoài đường lớn,Kon Tum\Bảng đặt câu.xlsx
inh bôh đe jom kơ yang kông,toio thấy người ta cúng thần núi,Kon Tum\Bảng đặt câu.xlsx
inh bôh đe tuh rác tơ đak krong,tôi thấy người ta đổ rác ở sông,Kon Tum\Bảng đặt câu.xlsx
inh bôh đe tẽch ka,tôi thấy người ta bán cá,Kon Tum\Bảng đặt câu.xlsx
inh bôh đe xoh bri vă pơm mir jang,tôi thấy người ta đốt rừng để làm rẫy,Kon Tum\Bảng đặt câu.xlsx
inh bôh đei minh pôm thoi xe inh,tôi thấy một chiếc xe giống như chiếc xe của tôi,Kon Tum\Bảng đặt câu.xlsx
inh bôk bẽ tiu,tôi đi hái tiêu,Kon Tum\Bảng đặt câu.xlsx
inh bôk chonh brơm,tôi đi mua đạn,Kon Tum\Bảng đặt câu.xlsx
